Incomplete,Date,Sessions,% of Sessions
,03/12/2014 0:00,17607,0.10%
,02/12/2014 0:00,17699,0.10%
,01/12/2014 0:00,17656,0.10%
,30/11/2014 0:00,25967,0.20%
,29/11/2014 0:00,29312,0.20%
,28/11/2014 0:00,30001,0.30%
,27/11/2014 0:00,32656,0.30%
,26/11/2014 0:00,25729,0.20%
,25/11/2014 0:00,21255,0.20%
,24/11/2014 0:00,20838,0.20%
,23/11/2014 0:00,28757,0.20%
,22/11/2014 0:00,32080,0.30%
,21/11/2014 0:00,25896,0.20%
,20/11/2014 0:00,23294,0.20%
,19/11/2014 0:00,22646,0.20%
,18/11/2014 0:00,18437,0.20%
,17/11/2014 0:00,17205,0.10%
,16/11/2014 0:00,25759,0.20%
,15/11/2014 0:00,27833,0.20%
,14/11/2014 0:00,22012,0.20%
,13/11/2014 0:00,18187,0.20%
,12/11/2014 0:00,17478,0.10%
,11/11/2014 0:00,20617,0.20%
,10/11/2014 0:00,18886,0.20%
,09/11/2014 0:00,24745,0.20%
,08/11/2014 0:00,26768,0.20%
,07/11/2014 0:00,20794,0.20%
,06/11/2014 0:00,17384,0.10%
,05/11/2014 0:00,16151,0.10%
,04/11/2014 0:00,17705,0.10%
,03/11/2014 0:00,16850,0.10%
,02/11/2014 0:00,25490,0.20%
,01/11/2014 0:00,24544,0.20%
,31/10/2014 0:00,15393,0.10%
,30/10/2014 0:00,13959,0.10%
,29/10/2014 0:00,13175,0.10%
,28/10/2014 0:00,13324,0.10%
,27/10/2014 0:00,13372,0.10%
,26/10/2014 0:00,20015,0.20%
,25/10/2014 0:00,23083,0.20%
,24/10/2014 0:00,19109,0.20%
,23/10/2014 0:00,18349,0.20%
,22/10/2014 0:00,18579,0.20%
,21/10/2014 0:00,17114,0.10%
,20/10/2014 0:00,18150,0.20%
,19/10/2014 0:00,27100,0.20%
,18/10/2014 0:00,30090,0.30%
,17/10/2014 0:00,22728,0.20%
,16/10/2014 0:00,18735,0.20%
,15/10/2014 0:00,18134,0.20%
,14/10/2014 0:00,19378,0.20%
,13/10/2014 0:00,21964,0.20%
,12/10/2014 0:00,28718,0.20%
,11/10/2014 0:00,30448,0.30%
,10/10/2014 0:00,24354,0.20%
,09/10/2014 0:00,19479,0.20%
,08/10/2014 0:00,18605,0.20%
,07/10/2014 0:00,19351,0.20%
,06/10/2014 0:00,20073,0.20%
,05/10/2014 0:00,29974,0.30%
,04/10/2014 0:00,31033,0.30%
,03/10/2014 0:00,24015,0.20%
,02/10/2014 0:00,20170,0.20%
,01/10/2014 0:00,18626,0.20%
,30/09/2014 0:00,18983,0.20%
,29/09/2014 0:00,19122,0.20%
,28/09/2014 0:00,28725,0.20%
,27/09/2014 0:00,30388,0.30%
,26/09/2014 0:00,24012,0.20%
,25/09/2014 0:00,21056,0.20%
,24/09/2014 0:00,19708,0.20%
,23/09/2014 0:00,18621,0.20%
,22/09/2014 0:00,18880,0.20%
,21/09/2014 0:00,28199,0.20%
,20/09/2014 0:00,29821,0.30%
,19/09/2014 0:00,23356,0.20%
,18/09/2014 0:00,19572,0.20%
,17/09/2014 0:00,17946,0.20%
,16/09/2014 0:00,19338,0.20%
,15/09/2014 0:00,20038,0.20%
,14/09/2014 0:00,29522,0.20%
,13/09/2014 0:00,32348,0.30%
,12/09/2014 0:00,25080,0.20%
,11/09/2014 0:00,21238,0.20%
,10/09/2014 0:00,20993,0.20%
,09/09/2014 0:00,20449,0.20%
,08/09/2014 0:00,20587,0.20%
,07/09/2014 0:00,31305,0.30%
,06/09/2014 0:00,34178,0.30%
,05/09/2014 0:00,26512,0.20%
,04/09/2014 0:00,22086,0.20%
,03/09/2014 0:00,22868,0.20%
,02/09/2014 0:00,24073,0.20%
,01/09/2014 0:00,32799,0.30%
,31/08/2014 0:00,35408,0.30%
,30/08/2014 0:00,36817,0.30%
,29/08/2014 0:00,31035,0.30%
,28/08/2014 0:00,27282,0.20%
,27/08/2014 0:00,28819,0.20%
,26/08/2014 0:00,28907,0.20%
,25/08/2014 0:00,28963,0.20%
,24/08/2014 0:00,36757,0.30%
,23/08/2014 0:00,39586,0.30%
,22/08/2014 0:00,33848,0.30%
,21/08/2014 0:00,30790,0.30%
,20/08/2014 0:00,31013,0.30%
,19/08/2014 0:00,32039,0.30%
,18/08/2014 0:00,32501,0.30%
,17/08/2014 0:00,36775,0.30%
,16/08/2014 0:00,37306,0.30%
,15/08/2014 0:00,33840,0.30%
,14/08/2014 0:00,32632,0.30%
,13/08/2014 0:00,32350,0.30%
